d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d15080_14,CICCHITTO,FABRIZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15080_16,CICCHITTO,FABRIZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d150_12,ALOI,FORTUNATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d15100_15,CIRINO POMICINO,PAOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
http://dati.camera.it/ocd/deputato.rdf/d15100_15,CIRINO POMICINO,PAOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15100_15,CIRINO POMICINO,PAOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15250_12,COSTA,RAFFAELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d1530_3,CAVALIERE,STEFANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d15390_10,DE MICHELIS,GIANNI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d1540_1,CECCHERINI,GUIDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d1540_2,CECCHERINI,GUIDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d15600_11,GIULIARI,FRANCESCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d1580_12,CERULLO,PIETRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15870_10,MACCIOTTA,GIORGIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15880_10,MAGRI,LUCIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15880_11,MAGRI,LUCIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15990_2,MARTINELLI,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d15990_3,MARTINELLI,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d16050_12,MASTELLA,MARIO CLEMENTE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d16080_10,MELLINI,MAURO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d16400_11,PANNELLA,GIACINTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d16690_11,SANESE,NICOLAMARIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d16760_12,SEGNI,MARIOTTO GIOVANNI BATTISTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,PRESIDENTE
